,Country,Count
0,Italy,50
1,France,50
2,Switzerland,50
3,UK,50
4,Austria,49
5,Sweden,49
6,USA,49
7,Norway,48
8,Hungary,48
9,Canada,48
10,Finland,47
11,Czech Republic,47
12,Australia,47
13,Greece,46
14,Netherlands,46
15,Belgium,46
16,Germany,45
17,Poland,44
18,Romania,42
19,Serbia,42
20,Spain,42
21,Argentina,42
22,Japan,42
23,Denmark,40
24,New Zealand,39
25,Bulgaria,39
26,Iceland,38
27,Chile,38
28,Turkey,38
29,Russia,36
30,Liechtenstein,35
31,South Korea,34
32,India,34
33,Lebanon,33
34,Luxembourg,33
35,Mexico,31
36,Portugal,31
37,Brazil,30
38,Monaco,30
39,China,29
40,Ireland,27
41,Iran,27
42,Mongolia,26
43,Bermuda,25
44,Philippines,25
45,Taiwan,25
46,South Africa,25
47,Jamaica,24
48,Venezuela,23
49,San Marino,23
50,Puerto Rico,23
51,Peru,22
52,Israel,22
53,Uruguay,22
54,Andorra,22
55,Cuba,21
56,Latvia,21
57,Costa Rica,21
58,Egypt,21
59,Estonia,21
60,Colombia,21
61,Trinidad,21
62,Morocco,20
63,Cyprus,20
64,Senegal,19
65,Boliva,19
66,Pakistan,19
67,Thailand,19
68,"Virgin Islands, US",18
69,Nepal,18
70,North Korea,18
71,Myanmar,17
72,Guyana,17
73,Lithuania,17
74,Malta,17
75,Kenya,17
76,Fiji,17
77,Panama,17
78,Sri Lanka,17
79,Singapore,16
80,Guatemala,16
81,Bahamas,16
82,Haiti,16
83,Nigeria,16
84,Algeria,16
85,Ghana,15
86,Malaysia,15
87,Curacao,15
88,Ethiopia,15
89,Uganda,15
90,Indonesia,15
91,Cameroon,15
92,Vietnam,15
93,Syria,14
94,Slovenia,14
95,Tunisia,14
96,Afghanistan,14
97,Zimbabwe,14
98,Croatia,14
99,Iraq,14
100,Ecuador,14
101,Dominican Republic,14
102,Tanzania,13
103,Mali,13
104,Madagascar,13
105,Bosnia and Herzegovina,13
106,Ivory Coast,13
107,Paraguay,13
108,Zambia,13
109,Cayman Islands,12
110,El Salvador,12
111,Niger,12
112,Chad,12
113,Republic of Congo,12
114,Slovakia,12
115,Georgia,12
116,Sudan,12
117,Suriname,12
118,Belize,12
119,Belarus,12
120,Barbados,12
121,Ukraine,12
122,Armenia,12
123,Uzbekistan,12
124,Nicaragua,12
125,Kyrgyzstan,12
126,Liberia,12
127,Kuwait,12
128,Moldova,12
129,Honduras,12
130,Kazakhstan,12
131,"Virgin Islands, British",11
132,Swaziland,11
133,Azerbaijan,11
134,Saudi Arabia,11
135,Togo,11
136,Lesotho,11
137,Albania,11
138,Guinea,11
139,Benin,11
140,Sierra Leone,11
141,Macedonia,11
142,Central African Republic,10
143,Botswana,10
144,Libya,10
145,Jordan,10
146,Malawi,10
147,Tonga,10
148,Tajikistan,10
149,Papua New Guinea,10
150,Democratic Republic of the Congo,10
151,Mozambique,10
152,Antigua,10
153,Gabon,10
154,Qatar,9
155,Burkina Faso,9
156,Cambodia,9
157,American Samoa,9
158,Equatorial Guinea,9
159,Yemen,9
160,Oman,9
161,Solomon Islands,9
162,Gambia,9
163,Grenada,9
164,Bhutan,9
165,Guam,9
166,Somalia,9
167,Rwanda,9
168,Angola,9
169,United Arab Emirates,9
170,Bangladesh,9
171,Seychelles,9
172,Mauritania,9
173,Bahrain,9
174,Samoa,9
175,Laos,9
176,Mauritius,9
177,Vanuatu,8
178,Djibouti,8
179,Saint Vincent,8
180,Aruba,8
181,Cook Islands,8
182,Maldives,8
183,Namibia,7
184,Dominica,7
185,Saint Kitts,6
186,Sao Tome and Principe,6
187,Guinea-Bissau,6
188,Palestine,6
189,Saint Lucia,6
190,Comoros,6
191,Cape Verde,6
192,Nauru,6
193,Turkmenistan,6
194,Burundi,6
195,Montenegro,5
196,Brunei,5
197,Timor-Leste,5
198,Micronesia,5
199,Eritrea,5
200,Palau,5
201,Individual Olympic Athletes,5
202,Kiribati,4
203,Tuvalu,3
204,Marshall Islands,3
205,South Sudan,1
206,Refugee Olympic Team,1
207,Unknown,1
208,Kosovo,1
